country_name,iso_code
과테말라,GT
그레나다,GD
그리스,GR
나이지리아,NG
네덜란드,NL
네팔,NP
노르웨이,NO
뉴질랜드,NZ
니카라과,NI
대한민국,KR
덴마크,DK
독일,DE
라오스,LA
라트비아,LV
러시아,RU
레바논,LB
레소토,LS
루마니아,RO
룩셈부르크,LU
르완다,RW
리투아니아,LT
마다가스카르,MG
말라위,MW
말레이시아,MY
말리,ML
멕시코,MX
모로코,MA
모잠비크,MZ
몬테네그로,ME
몰디브,MV
몰타,MT
몽골,MN
미국,US
미얀마,MM
바레인,BH
바하마,BS
방글라데시,BD
베네수엘라,VE
베트남,VN
벨기에,BE
벨라루스,BY
벨리즈,BZ
보츠와나,BW
볼리비아,BO
부르키나파소,BF
부탄,BT
불가리아,BG
브라질,BR
세네갈,SN
세르비아,RS
스리랑카,LK
스웨덴,SE
스위스,CH
스페인,ES
슬로바키아,SK
슬로베니아,SI
싱가포르,SG
아랍에미리트,AE
아르메니아,AM
아르헨티나,AR
아이슬란드,IS
아이티,HT
아일랜드,IE
아제르바이잔,AZ
아프가니스탄,AF
알바니아,AL
에스토니아,EE
에콰도르,EC
에티오피아,ET
영국,GB
오만,OM
오스트리아,AT
온두라스,HN
요르단,JO
우간다,UG
우루과이,UY
우크라이나,UA
이라크,IQ
이란,IR
이스라엘,IL
이집트,EG
이탈리아,IT
인도,IN
인도네시아,ID
일본,JP
자메이카,JM
잠비아,ZM
조지아,GE
중국,CN
짐바브웨,ZW
체코,CZ
칠레,CL
카보베르데,CV
카자흐스탄,KZ
카타르,QA
캄보디아,KH
캐나다,CA
케냐,KE
코스타리카,CR
콜롬비아,CO
쿠바,CU
크로아티아,HR
탄자니아,TZ
태국,TH
튀르키예,TR
파나마,PA
파라과이,PY
파키스탄,PK
페루,PE
포르투갈,PT
폴란드,PL
프랑스,FR
피지,FJ
핀란드,FI
필리핀,PH
헝가리,HU
호주,AU
홍콩,HK
